subject,run_rank,mode,channel,std,mad,ptp,line_length,near_flat_ratio,hf_ratio
50,1,raw,Fp1,6.735582951202458e-05,2.4699999809265135e-05,0.0010466000366210937,2.23257154914583e-06,0.009490117843555721,0.009226380947644395
50,1,raw,Fp2,6.518356687969189e-05,2.4800001144409176e-05,0.0011113999938964843,2.95228082615886e-06,0.006813893786149516,0.05475744659572593
50,1,raw,F7,3.245627180755499e-05,1.8e-05,0.0007044999999999999,3.078007852936622e-06,0.015850112894744983,0.07123644051570667
50,1,raw,F3,3.486388653778703e-05,1.7500000000000002e-05,0.0005759999999999999,2.405266699722192e-06,0.010677059169218397,0.05897990500970224
50,1,raw,Fz,3.526499102002515e-05,1.729999923706055e-05,0.0006217999877929687,2.277471528105024e-06,0.010588908477931397,0.05044310266798097
50,1,raw,F4,3.8311175800592115e-05,1.8499998092651364e-05,0.0006867000122070312,2.8796298296698e-06,0.004252884228758776,0.08444661290249886
50,1,raw,F8,5.504547346700964e-05,2.6000000000000002e-05,0.001052,2.632648563205519e-06,0.005493953171878383,0.05355725616303525
50,1,raw,FC5,3.139261239842341e-05,1.890000057220459e-05,0.0007516000061035155,2.651379285384967e-06,0.010474467229593888,0.09626973225120995
50,1,raw,FC1,3.234719621239174e-05,1.740000057220459e-05,0.0005561999969482421,2.3362767425699944e-06,0.014336859360984814,0.0646784228770562
50,1,raw,FC2,3.140083832846704e-05,1.6300000190734862e-05,0.0005935000000000001,2.316804937315014e-06,0.015247749837617147,0.07062861858120492
50,1,raw,FC6,3.537875259473053e-05,1.6999999999999996e-05,0.0007048000183105469,2.754243958595879e-06,0.010418793108781046,0.08906137168617052
50,1,raw,T7,2.6867097758945933e-05,1.5700000762939444e-05,0.00048089999389648434,3.7513517638281825e-06,0.0017722928458754755,0.3302528444264893
50,1,raw,C3,3.2675172095767685e-05,2.030000019073486e-05,0.0005056000061035156,2.453898313738361e-06,0.01331771364943862,0.07735993174424552
50,1,raw,Cz,3.6348802391621406e-05,2.15e-05,0.0005376999969482422,2.5578867474057474e-06,0.008663511799820606,0.06725891667659946
50,1,raw,C4,3.9514900927407894e-05,2.5199998855590823e-05,0.0005783000183105468,2.4132036684304526e-06,0.010012835977854071,0.08739171868652175
50,1,raw,T8,2.7990465356669602e-05,1.4199999809265137e-05,0.0006028000030517578,2.986864842052414e-06,0.011900343323745012,0.20641547631994858
50,1,raw,TP9,2.3704695901470772e-05,1.4300000384449959e-05,0.0004311000061035156,3.808434944599334e-06,0.015521480931613622,0.2549398234426852
50,1,raw,CP5,2.9090209516051387e-05,1.789999961853027e-05,0.00046289999389648433,2.7569676609824426e-06,0.010963162290062169,0.0957017769780428
50,1,raw,CP1,3.515103574191019e-05,2.1999999046325682e-05,0.0005073000030517578,2.4400299556917175e-06,0.011078376790077634,0.07181170101098922
50,1,raw,CP2,3.3535883039776456e-05,2.0299999952316282e-05,0.000519000015258789,2.4309436228458703e-06,0.014279638736816059,0.07378879522615286
50,1,raw,CP6,2.863192149636272e-05,1.6100000858306886e-05,0.000541,2.653083460596649e-06,0.011344375367294547,0.11148429761806423
50,1,raw,TP10,2.4242397971639576e-05,1.3399999856948851e-05,0.0004671999969482422,3.915040992812932e-06,0.016894775911663728,0.3287908426497696
50,1,raw,P7,2.8013466982862374e-05,1.680000019073486e-05,0.0005418000030517578,3.6403080146230463e-06,0.009387275370387554,0.15388020034155692
50,1,raw,P3,2.9378290973238934e-05,1.809999942779541e-05,0.0004693000030517578,2.6617111771200145e-06,0.013965698555565866,0.075312475317194
50,1,raw,Pz,3.133936612666827e-05,1.8800000190734862e-05,0.0004960999908447265,2.5221757916349547e-06,0.014563422102625963,0.07297625161943934
50,1,raw,P4,2.7593556882434892e-05,1.5699998855590823e-05,0.0004938000183105468,2.6254750284397695e-06,0.009392688132133247,0.08352631879528746
50,1,raw,P8,2.9291031059234274e-05,1.8299999237060546e-05,0.0004888999938964843,3.149825591778537e-06,0.011833070427762828,0.1365075516661531
50,1,raw,PO9,2.625703362731918e-05,1.5799999713897706e-05,0.0005251000061035156,5.3891838240616155e-06,0.016778014908292352,0.2205788502135175
50,1,raw,O1,3.128863195705344e-05,1.729999923706055e-05,0.0005194000091552735,3.457107231135183e-06,0.012064272679471714,0.09571053214311898
50,1,raw,Oz,2.612765810063022e-05,1.6199999809265135e-05,0.00043439999389648435,3.32924525039524e-06,0.014994123287247533,0.09818370555568946
50,1,raw,O2,2.743567978277429e-05,1.669999885559082e-05,0.00045480000305175784,3.350805690707093e-06,0.016140082273978534,0.09542185738837075
50,1,raw,PO10,2.567752613775302e-05,1.4900000184774398e-05,0.0006066000061035156,4.982553882556148e-06,0.013533450867588382,0.30673985979727403
50,1,raw,FC3,3.275422971007862e-05,1.899999809265137e-05,0.000518,2.446721604691129e-06,0.009449135504624045,0.0739690254951085
50,1,raw,FC4,3.395824859752272e-05,1.7000000476837157e-05,0.0006564000091552735,2.505025676324439e-06,0.016229779468621447,0.1293534812474407
50,1,raw,C5,2.772574894474509e-05,1.6299999237060548e-05,0.0004701999969482422,2.684402882704459e-06,0.011457270112276144,0.12336444626512823
50,1,raw,C1,3.392121939463271e-05,1.9899999618530275e-05,0.000540000015258789,2.401211994903027e-06,0.01382264699514398,0.07012356654535093
50,1,raw,C2,3.5743868781986754e-05,2.1600000381469724e-05,0.0005913999938964844,2.3712331580928107e-06,0.010530141350406731,0.07323164461863312
50,1,raw,C6,2.99601530026117e-05,1.5399999618530274e-05,0.0005993999938964843,2.729909166006436e-06,0.014258760941511243,0.13065319243879692
50,1,raw,CP3,3.0010708060391544e-05,1.8199999809265136e-05,0.00047509999084472657,2.558665721633487e-06,0.014834060189910613,0.07962916931800627
50,1,raw,CPz,4.161930639976653e-05,2.5300000190734864e-05,0.0005629999999999999,2.441399389507813e-06,0.011762704525068819,0.07128418761828799
50,1,raw,CP4,2.6848771952036803e-05,1.409999942779541e-05,0.0005258999938964843,2.6233866273442817e-06,0.018089449754105966,0.08367496585529247
50,1,raw,P1,3.476730159628184e-05,1.8e-05,0.003587800048828125,2.6538458851051056e-06,0.008395193467569825,0.2082849958372405
50,1,raw,P2,3.016301967517561e-05,1.849999904632568e-05,0.0005093999938964843,2.547955404942731e-06,0.012378986112399864,0.07627296763432855
50,1,raw,POz,2.8379762538063878e-05,1.630000042915344e-05,0.0004885999908447265,2.8917288291042033e-06,0.016529801119668428,0.07542128612060989
50,1,raw,FT9,2.405670253725893e-05,1.4299999803304672e-05,0.00040930000305175777,2.6731614182794087e-06,0.019877207633540565,0.11427321261588944
50,1,raw,FTT9h,2.5812349942654498e-05,1.5200000762939452e-05,0.0006208999938964844,3.122909377659987e-06,0.016484179270669017,0.24528443903691807
50,1,raw,TTP7h,2.854742474213893e-05,1.7100000761449337e-05,0.00047530000305175775,2.883746855687708e-06,0.016229779468621447,0.20472948907208124
50,1,raw,TP7,2.809630063015314e-05,1.75e-05,0.00045019999694824214,3.035337010492617e-06,0.01588258946521914,0.1445177798090232
50,1,raw,TPP9h,2.9123674531718647e-05,1.759999847412109e-05,0.0005056999969482421,3.674122803480278e-06,0.009765395440908107,0.18076064102906778
50,1,raw,FT10,5.039292165911233e-05,1.7000000476837157e-05,0.002307799896240234,2.5952092354626133e-06,0.016405307599517492,0.028498997785153374
50,1,raw,FTT10h,3.4792365155057594e-05,1.6099999427795412e-05,0.0007228000030517579,2.6203122539640277e-06,0.010588908477931397,0.07163086504075396
50,1,raw,TPP8h,2.8353862628495173e-05,1.5600000381469724e-05,0.0005991999969482422,3.0997967908894104e-06,0.011180446011567846,0.281010772455704
50,1,raw,TP8,2.978555538423622e-05,1.8099999904632567e-05,0.0005371000061035156,3.2317699971549766e-06,0.014404905508644953,0.4133111879653737
50,1,raw,TPP10h,2.652284293806939e-05,1.4900000095367432e-05,0.0006479999999999999,4.143826857542248e-06,0.014285051498561753,0.5503451894479052
50,1,raw,F9,3.049950520771775e-05,1.740000057220459e-05,0.0005210999908447265,2.8469134484838497e-06,0.015631282669883395,0.04834426082897487
50,1,raw,F10,0.00010743813857238512,2.4299999237060546e-05,0.003603199951171875,2.54247381937941e-06,0.012314032971451548,0.007719389067439617
50,1,raw,AF7,4.917720407359083e-05,2.3799999237060547e-05,0.0007606000061035156,2.6304973819737184e-06,0.006940707061334323,0.024520212431843824
50,1,raw,AF3,4.2774380558532774e-05,1.940000081062317e-05,0.0006873999938964844,2.337796105728191e-06,0.01571634035445857,0.034240068121673184
50,1,raw,AF4,4.7047855998246296e-05,1.9400001525878908e-05,0.0008535000305175781,3.2820818840246574e-06,0.00022810924499706164,0.06676958351801256
50,1,raw,AF8,7.017094196254098e-05,2.520000076293945e-05,0.001851500030517578,3.05325125552854e-06,0.005632365222232532,0.07377046240692413
50,1,raw,PO3,2.6605330975948986e-05,1.5499999999999997e-05,0.0007541000061035155,2.9971702051001922e-06,0.01094305774643531,0.06598076037870637
50,1,raw,PO4,2.5804372300848532e-05,1.4599999666213988e-05,0.0004713000030517578,2.8516328379581577e-06,0.019287216603260028,0.08363352849002323
50,2,raw,Fp1,0.00011370736122483321,2.770000076293945e-05,0.002571199951171875,3.4757934654339953e-06,0.009168550999205525,0.045884058698156725
50,2,raw,Fp2,0.00013420138724162643,3.2599998474121096e-05,0.0038086999511718744,3.832295595910708e-06,0.005961620729695044,0.028487968000115237
50,2,raw,F7,5.854247232797465e-05,2.4100000858306888e-05,0.0017829999999999999,6.7771226070250335e-06,0.011097445456212185,0.10542987770917951
50,2,raw,F3,6.0881432777887944e-05,2.320000171661377e-05,0.0017375999755859374,4.026812798929717e-06,0.012464095825948786,0.14439374093670299
50,2,raw,Fz,5.972385440035428e-05,2.4499998092651368e-05,0.0013812000122070314,3.406741052795861e-06,0.010377834137994256,0.09981195649620547
50,2,raw,F4,6.410912546727605e-05,2.389999771118164e-05,0.0023115,4.761511307244435e-06,0.0051449917496791545,0.2314257819224344
50,2,raw,F8,7.347765157342685e-05,2.779999828338623e-05,0.0021670999755859376,6.680266822187095e-06,0.009564260832365704,0.1316811151902504
50,2,raw,FC5,5.1561813893675386e-05,2.2400001525878906e-05,0.004412800048828125,6.2209652256435746e-06,0.0060364847521848074,0.4240339205289677
50,2,raw,FC1,7.509206763024848e-05,2.3800001144409175e-05,0.0015237000122070312,3.4842571503760365e-06,0.008799578316934547,0.1595802581723001
50,2,raw,FC2,5.509879375908651e-05,2.179999923706055e-05,0.0017082999877929684,3.7768618043085022e-06,0.01027088553443745,0.22711851906051356
50,2,raw,FC6,6.19366042663521e-05,2.5999999523162838e-05,0.0024594000244140624,7.108794695665241e-06,0.009031045651775347,0.4170520589666497
50,2,raw,T7,6.206287122712181e-05,2.5700000762939457e-05,0.002670800048828125,7.5919724328662016e-06,0.00486845321762513,1.2695255735529702
50,2,raw,C3,7.291537190677376e-05,2.630000066757202e-05,0.002010599975585937,4.0097802288529876e-06,0.010560410682637657,0.3232483603209056
50,2,raw,Cz,8.054929000770428e-05,2.4999999999999998e-05,0.0015534000244140625,3.821524951987694e-06,0.009394670903868484,0.1601541785116675
50,2,raw,C4,5.805027424912076e-05,2.530000019073486e-05,0.0025752999267578125,4.651107875453726e-06,0.010249495813726089,0.5979066742093901
50,2,raw,T8,5.658447802082032e-05,2.45e-05,0.001628500061035156,4.577533821355563e-06,0.010768196540976594,0.6310170776570794
50,2,raw,TP9,4.525237666499332e-05,2.1799999237060546e-05,0.0007752000122070312,4.54854912926824e-06,0.01276355191590784,0.31648450795419397
50,2,raw,CP5,5.089550430000498e-05,2.1900001525878908e-05,0.002013200073242187,4.108316407082663e-06,0.011820876367414287,0.43102775745433985
50,2,raw,CP1,7.439438522075115e-05,2.5499998092651365e-05,0.001361200012207031,3.4847708120323377e-06,0.008982918780174785,0.16957724372911132
50,2,raw,CP2,5.972085290265792e-05,2.6299999952316286e-05,0.0013760999755859375,3.5752361876958144e-06,0.00992788608445884,0.20598216205016612
50,2,raw,CP6,5.238950784512811e-05,2.4000001907348635e-05,0.0017973999633789063,4.184174495129859e-06,0.007865305873006172,0.4370623743398605
50,2,raw,TP10,4.676824367721396e-05,2.4800000190734865e-05,0.0007228999938964844,4.546662932205197e-06,0.011296828209985944,0.3430825440483599
50,2,raw,P7,4.8030786641715904e-05,2.44000015258789e-05,0.001044199981689453,4.504637449947476e-06,0.0062954531565116425,0.23834495000573402
50,2,raw,P3,8.298797071451292e-05,2.6699999809265136e-05,0.0016031000061035156,3.5639193331630128e-06,0.009239595428711117,0.1706963343634729
50,2,raw,Pz,6.108086140748764e-05,2.8799999713897704e-05,0.0010727000122070312,3.4032289339502512e-06,0.010212827721078042,0.14045643573224953
50,2,raw,P4,6.631688447728577e-05,2.7500000476837158e-05,0.001483,3.6772209256098685e-06,0.009907260282344314,0.18924191122090434
50,2,raw,P8,6.189430720847849e-05,2.8299999237060545e-05,0.0012531000061035155,4.455529896187065e-06,0.007377925808225876,0.24633380899134022
50,2,raw,PO9,5.135963605802803e-05,2.2600000739097596e-05,0.0012520999755859376,5.442943108722899e-06,0.012448053535415267,0.442222309977788
50,2,raw,O1,5.282884657561332e-05,2.2800000190734864e-05,0.0010273999938964844,3.7532133101893425e-06,0.012355619385198312,0.11609197616270442
50,2,raw,Oz,5.440388789491927e-05,2.2699999809265137e-05,0.001111800018310547,3.731779191656344e-06,0.011981299272749496,0.13129556941505477
50,2,raw,O2,5.169024450783527e-05,2.5300000190734864e-05,0.0009121000061035156,3.979053871375616e-06,0.009322862555766058,0.1349002906661804
50,2,raw,PO10,6.183896108861254e-05,2.4899999141693114e-05,0.0014772999877929688,5.373404537335309e-06,0.00934807186946159,0.2613498445831195
50,2,raw,FC3,5.42981249765049e-05,2.270000076293945e-05,0.002162300048828125,4.071307271802383e-06,0.009429811159322862,0.3378831460912222
50,2,raw,FC4,5.896597302443274e-05,2.5100000381469724e-05,0.0026645999755859373,5.3227421801068405e-06,0.010600898368269877,0.5542705221233599
50,2,raw,C5,5.222935010693757e-05,2.3999999999999997e-05,0.0030804000244140624,5.982672863801188e-06,0.009433630752307035,0.6183739544845385
50,2,raw,C1,0.00013098555743657327,2.5800000190734862e-05,0.0022888999633789062,3.7991635088824395e-06,0.01042290533520748,0.17258357065896948
50,2,raw,C2,5.7201288052402755e-05,2.2400000572204592e-05,0.0015822999877929686,3.6868427162898957e-06,0.011652814276110738,0.24080900419703513
50,2,raw,C6,6.121424290261678e-05,2.509999942779541e-05,0.0016797999877929686,6.319176051364332e-06,0.01062457984477174,0.3490557052483657
